image,text
all_images_processed\001 High fever more than 103.jpg,A  Bangladeshi woman extremely fatigued having fever feeling cold and wearing a red shawl putting her hand around her with a thermometer inside her mouth
all_images_processed\001 lethargy or extreme fatigue.jpg,A Bangladeshi girl wearing pink kamiz with blue Orna looking lethargic
all_images_processed\001 Muscle and joint pain.jpg,A Bangladeshi woman wearing salwar kamiz looking severely in pain putting her hand over hip can't move or stand straight
all_images_processed\001 Nausea.jpg,A Bangladeshi woman wearing saree looking nauseated putting her hand over tummy
all_images_processed\001 Passing fewer than three stools a week.jpg,a man sitting on the toilet putting his hand over his tummy looking constipated
all_images_processed\001 Severe Headache.jpg,A Bangladeshi girl wearing salwar kamiz putting her both hands over head looking extremely in pain
all_images_processed\001 Sudden high fever.jpg,A Bangladeshi man wearing blue T-shirt putting his one hand over forehead looking in high fever holding a thermometer in another hand
all_images_processed\002 Nausea.jpg,A Bangladeshi pregnant women looking fatigued and nauseated putting one hand over her tummy another infront of her mouth
all_images_processed\002 Sore red throat with white patches.jpg,Mouth cavity showing white patches over tonsils
all_images_processed\002 vomiting.jpg,A Bangladeshi woman throwing vomits putting her hands over her tummy
all_images_processed\003  Nausea and vomiting.jpg,A Bangladeshi girl wearing salwar kamiz looking nauseated putting her hand on tummy another infront of her mouth
all_images_processed\003 A headache.jpg,A Bangladeshi man wearing blue T-shirt having extreme pain in his head putting his both hands over head
all_images_processed\003 pain in abdomen.jpg,A bangladeshi woman wearing Sare having menstrual pain putting her both hands over her lower tummy
all_images_processed\003 Vomiting.jpg,A Bangladeshi pregnant women looking fatigued and nauseated putting one hand over her tummy another infront of her mouth
all_images_processed\003 Weakness.jpg,A bangladeshi girl wearing pink salwar kamiz looking extremely lethargic
all_images_processed\004  Eye pain.jpg,A bangladeshi girl wearing salwar kamiz putting her both hands over both eyes having extreme eye pain
all_images_processed\004 Belching.jpg,A Bangladeshi woman wearing sare putting one hand over her upper tummy another hand over her mouth and burping
all_images_processed\004 Cannot clear all stools.jpg,A Bangladeshi man sitting on commode and waiting for his poop to come outside looking tensed
all_images_processed\004 Chills.jpg,A Bangladeshi man wearing blue T-shirt feeling cold putting his arms around him
all_images_processed\004 Pale Skin.jpg,A bangladeshi girl wearing salwar kamiz putting her hand over her cheek looking anxious and in pain
all_images_processed\005 feeling of fullness .jpg,A Bangladeshi woman wearing sare putting her hand over her tummy and burping
all_images_processed\005 Light Headness.jpg,A bangladeshi girl wearing salwar kamiz putting her hand over head and looking tensed
all_images_processed\005 Loss of appetite.jpg,"A Bangladeshi man wearing blue T-shirt sitting in a dining table having food platter in front of him but not interested to eat looking malaise and tensed, putting one hand over his cheek  "
all_images_processed\005 Severe Headache.jpg,A bangladeshi girl wearing pink salwar kamiz having extreme headache putting her both hands over her forehead
all_images_processed\005 Yoga 2.jpg,A bangladeshi girl doing her yoga session over her yoga mat
all_images_processed\006 Dizziness.jpg,A bangladeshi girl wearing pink salwar kamis putting her hands over head slightly bending forwards looking tensed
all_images_processed\006 Drink Lots of water.jpg,"A bangladeshi boy wearing sky blue tshirt holding a half glass full water in his left hand, right hand is pointing at the glass, smiling and happy "
all_images_processed\006 Meditation.jpg,a Bangladeshi girl wearing Orange tshirt meditating with closed eyes in lotus position
